# or Unit or limit or per or quarter. You can ignore this for the first
# few questions in problem 2.
minUnits 0
maxUnits 5

# These are the quarters that I need to fill out.
# It is assumed that the quarters are sorted in chronological order.
register Win2018
register Spr2019

# Courses I've already taken
taken CS103
taken CS109
taken CS161
taken CS107
taken CS110
taken STATS237
taken CS228
taken CS224W
taken CS155
taken CS221
taken CS106A
taken CS106B
taken CS124
taken CS145
taken CS157
taken EE102A
taken EE178
taken EE278A
taken ENGR105
taken LINGUIST130A
taken LINGUIST180
taken MATH113
taken MATH115
taken MATH51
taken PHIL150
taken STATS116
taken STATS305

# Courses that I'm requesting
request CS224N or CS223A or CS224S or CS229 or CS224U or CS231A
request CS205A or CS225A or CS227B or CS229T or CS231B or CS232 or CS270 or CS273A or CS274 or CS275 or CS276 or CS331A or CS331B or CS371 or APPPHYS293 or BIOE332 or EE263 or EE364B or EE376A or ENGR205 or ENGR209A or MS&E251 or MS&E252 or MS&E351 or MS&E352 or MS&E353 or STATS202 or STATS315A or STATS315B
request CS154
request CS261
request CS166
request CS228
request CS246
request CS254
request CS255
request CS262
request CS263
request CS265
request CS266
request CS267
request CS268
request CS334A
request EE364A
request CS341
request CS354
request CS355
request CS357
request CS362
request CS364A
request CS366
request CS367
request CS374
